username,cheating,cpl_1,cpl_2,cpl_3,cpl_4,cpl_5,cpl_6,cpl_7,cpl_8,cpl_9,cpl_10,cpl_11,cpl_12,cpl_13,cpl_14,cpl_15,cpl_16,cpl_17,cpl_18,cpl_19,cpl_20
telbat,1,0.0,9.0,1.0,57.0,2.0,13.0,16.0,0.0,0.0,39.0,25.0,0.0,48.0,48.0,1.0,43.0,0.0,0.0,26.0,62.0
nottoblame,0,372.0,25.0,43.0,440.0,11.0,21.0,15.0,45.0,13.0,68.0,54.0,3.0,0.0,19.0,0.0,123.0,0.0,36.0,0.0,0.0
sundoroclasic,0,65.0,0.0,90.0,59.0,65.0,0.0,55.0,35.0,43.0,0.0,164.0,0.0,24.0,0.0,6.0,0.0,2.0,93.0,42.0,4.0
antoniosba94,1,0.0,29.0,61.0,4.0,30.0,4.0,0.0,0.0,0.0,0.0,15.0,156.0,0.0,24.0,0.0,6.0,22.0,0.0,0.0,5.0
goldflsh,1,3.0,0.0,2.0,18.0,46.0,5.0,0.0,6.0,127.0,0.0,57.0,49.0,19.0,47.0,7.0,83.0,0.0,7.0,159.0,0.0
f0wnya,1,10.0,2.0,11.0,17.0,0.0,7.0,34.0,38.0,26.0,21.0,2.0,63.0,0.0,182.0,56.0,11.0,0.0,312.0,242.0,18.0
crennlrak,1,0.0,0.0,0.0,14.0,32.0,26.0,17.0,2.0,9.0,74.0,69.0,98.0,77.0,29.0,0.0,93.0,0.0,97.0,0.0,0.0
ismaeel_carlsen,1,10.0,9.0,35.0,8.0,185.0,1.0,0.0,33.0,0.0,0.0,10.0,8.0,0.0,2.0,40.0,0.0,0.0,31.0,38.0,68.0
sjeddi,1,5.0,9.0,0.0,0.0,14.0,0.0,37.0,14.0,3.0,32.0,0.0,0.0,32.0,17.0,65.0,149.0,0.0,8.0,51.0,21.0
thebestchess10,1,20.0,24.0,13.0,16.0,0.0,9.0,0.0,20.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,25.0,72.0,0.0
ismaeel_carlsen,1,0.0,0.0,1.0,10.0,29.0,0.0,0.0,8.0,16.0,46.0,28.0,0.0,0.0,49.0,2.0,22.0,14.0,25.0,0.0,5.0
m-the-greatiix,1,0.0,1.0,26.0,23.0,19.0,0.0,0.0,30.0,0.0,51.0,33.0,32.0,28.0,6.0,0.0,0.0,32.0,35.0,0.0,14.0
sorryg,1,0.0,0.0,0.0,36.0,0.0,18.0,41.0,54.0,59.0,23.0,43.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,69.0
sabriski,1,216.0,0.0,160.0,7.0,0.0,71.0,5.0,112.0,0.0,74.0,0.0,92.0,0.0,9.0,0.0,0.0,21.0,16.0,17.0,10.0
joses1,0,1.0,9.0,27.0,59.0,3.0,10.0,12.0,0.0,364.0,0.0,3.0,0.0,0.0,196.0,0.0,0.0,10.0,118.0,42.0,100.0
effdaking,0,10.0,69.0,24.0,183.0,31.0,0.0,500.0,135.0,89.0,64.0,24.0,92.0,13.0,52.0,43.0,72.0,0.0,1.0,189.0,0.0
antoniosba94,1,55.0,1.0,50.0,0.0,0.0,88.0,0.0,0.0,14.0,85.0,8.0,3.0,17.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
quietwhiff,0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,10.0,9.0,0.0,2.0,25.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0
luckrei,1,0.0,2.0,0.0,50.0,0.0,8.0,58.0,20.0,1.0,2.0,56.0,24.0,7.0,5.0,12.0,32.0,27.0,10.0,61.0,53.0
toti-fanni,1,2.0,23.0,0.0,196.0,116.0,0.0,155.0,109.0,215.0,337.0,327.0,500.0,0.0,16.0,273.0,0.0,5.0,500.0,0.0,0.0
ahmeteskx5,1,9.0,59.0,19.0,47.0,48.0,0.0,5.0,63.0,0.0,15.0,0.0,34.0,11.0,0.0,4.0,0.0,0.0,16.0,0.0,12.0
